Element,Ion,line_centre,LEP,loggf,REF,line_start,line_end,segment_start,segment_end
Li,1,6707.7635,0,-0.002,1998PhRvA..57.1652Y,6707.3,6708.3,6705.76,6709.76
Li,1,6707.9145,0,-0.303,1998PhRvA..57.1652Y,6707.3,6708.3,6705.76,6709.76
Li,1,6707.9215,0,-0.002,1998PhRvA..57.1652Y,6707.3,6708.3,6705.76,6709.76
Li,1,6708.0725,0,-0.303,1998PhRvA..57.1652Y,6707.3,6708.3,6705.76,6709.76
C,1,6587.61,8.537,-1.021,1993A\&AS...99..179H,6587.261,6587.986,6585.61,6589.61
O,1,7771.944,9.146,0.369,NIST,7771.359,7772.509,7769.5,7777.5
O,1,7774.166,9.146,0.223,NIST,7773.522,7774.782,7769.5,7777.5
O,1,7775.388,9.146,0.002,NIST,7774.912,7775.962,7769.5,7777.5
Na,1,5682.6333,2.102,-0.706,GESMCHF,5682.517,5682.997,5680.63,5691.2
Na,1,5688.205,2.104,-0.404,GESMCHF,5687.917,5688.392,5680.63,5691.2
Mg,1,5711.088,4.346,-1.724,1990JQSRT..43..207C,5710.757,5711.428,5710,5713.09
Al,1,6696.023,3.143,-1.569,2008JPCRD..37..709K,6695.778,6696.173,6695,6699.87
Al,1,6698.673,3.143,-1.87,2008JPCRD..37..709K,6698.392,6698.895,6695,6699.87
Al,1,7835.309,4.022,-0.689,2008JPCRD..37..709K,7834.884,7835.572,7834,7837.5
Al,1,7836.134,4.022,-0.534,2008JPCRD..37..709K,7835.813,7836.431,7834,7837.5
Al,1,7836.134,4.022,-1.834,2008JPCRD..37..709K,7835.813,7836.431,7834,7837.5
Si,1,5684.484,4.954,-1.553,GARZ|BL,5684.184,5684.784,5683,5686
Si,1,5690.425,4.93,-1.773,GARZ|BL,5690.18,5690.683,5688.43,5692.43
Si,1,5701.104,4.93,-1.953,GARZ|BL,5700.929,5701.286,5699.7,5702
Si,1,5772.0272,5.614,-3.107,K07,5771.846,5772.446,5771.15,5773.15
Si,1,5772.146,5.082,-1.653,GARZ|BL,5771.846,5772.446,5771.15,5773.15
Si,1,5793.0726,4.93,-1.963,GARZ|BL,5792.719,5793.393,5791.07,5794.7
Si,1,6721.2732,5.964,-5.272,K07,6721.2,6722.3,6718.45,6723.85
Si,1,6721.8481,5.863,-1.062,1993PhyS...48..297N,6721.2,6722.3,6718.45,6723.85
Si,1,7680.266,5.863,-0.59,GARZ|BL,7679.944,7680.668,7678.27,7682.27
K,1,7698.9643,0,-0.178,2017PhRvA..95e2507T,7698.573,7699.296,7696.96,7700.96
Ca,1,5857.1962,5.3,-2.665,K07,5857.018,5857.625,5855.45,5859.45
Ca,1,5857.451,2.933,0.24,S,5857.018,5857.625,5855.45,5859.45
Ca,1,5867.562,2.933,-1.57,S,5867.3,5867.7,5865.5,5869.8
Ca,1,6493.781,2.521,-0.109,SR,6493.465,6493.993,6491.78,6501.65
Ca,1,6493.8033,5.632,-4.559,K07,6493.465,6493.993,6491.78,6501.65
Ca,1,6499.65,2.523,-0.818,SR,6499.378,6499.955,6491.78,6501.65
Sc,1,4743.83,1.448,0.422,LD,4743.549,4744,4741.83,4746.83
Sc,1,4753.161,0,-1.659,LD,4753,4753.4,4751.3,4755.5
Sc,2,5657.896,1.507,-0.603,LD,5657.678,5658.122,5655.9,5659.9
Sc,2,5667.149,1.5,-1.309,LD,5666.906,5667.323,5665.15,5669.15
Sc,1,5671.7751,1.448,-0.505,LD,5671.605,5672.092,5669.82,5673.82
Sc,1,5671.7898,1.448,-0.209,LD,5671.605,5672.092,5669.82,5673.82
Sc,1,5671.8032,1.448,-0.471,LD,5671.605,5672.092,5669.82,5673.82
Sc,1,5671.8163,1.448,-0.29,LD,5671.605,5672.092,5669.82,5673.82
Sc,1,5671.8271,1.448,-1.027,LD,5671.605,5672.092,5669.82,5673.82
Sc,1,5671.8436,1.448,-0.232,LD,5671.605,5672.092,5669.82,5673.82
Sc,1,5671.8641,1.448,-0.178,LD,5671.605,5672.092,5669.82,5673.82
Sc,1,5717.307,1.44,-0.532,LD,5717,5717.5,5715.5,5719.5
Sc,1,5724.107,1.433,-0.661,LD,5723.894,5724.269,5722.11,5726.11
Sc,2,6604.601,1.357,-1.309,LD,6604.409,6604.979,6602.6,6606.6
Ti,1,4758.1178,2.249,0.51,LGWSC,4757.947,4758.306,4756.12,4760.12
Ti,1,4759.1416,2.778,-3.002,K10,4759.088,4759.491,4756.12,4760.12
Ti,1,4759.2697,2.256,0.59,LGWSC,4759.088,4759.491,4756.12,4760.12
Ti,1,4778.2547,2.236,-0.35,LGWSC,4778.079,4778.442,4776.25,4780
Ti,1,4781.7106,0.848,-1.95,LGWSC,4781.573,4781.931,4780.5,4782.76
Ti,1,4797.9757,2.334,-0.63,LGWSC,4797.835,4798.129,4796.33,4799.41
Ti,1,4801.9016,0.818,-3.06,LGWSC,4801.8,4802.2,4800,4803.9
Ti,1,4801.9486,0.826,-3.16,LGWSC,4801.8,4802.2,4800,4803.9
Ti,1,4802.137,2.249,-3.845,K10,4801.8,4802.2,4800,4803.9
Ti,1,4820.2488,3.709,-5.449,K10,4820.088,4820.67,4818.41,4822.41
Ti,2,4820.3706,5.905,-2.037,K10,4820.088,4820.67,4818.41,4822.41
Ti,1,4820.4094,1.503,-0.38,LGWSC,4820.088,4820.67,4818.41,4822.41
Ti,1,5689.46,2.297,-0.36,NWL,5689.264,5689.805,5687.46,5691.46
Ti,1,5716.45,2.297,-0.72,NWL,5716.232,5716.83,5714.45,5718.45
Ti,1,5716.7175,3.424,-3.006,K10,5716.232,5716.83,5714.45,5718.45
Ti,1,5720.4359,2.292,-0.9,MFW,5720.245,5720.675,5718.5,5722.5
Ti,1,5720.6453,3.294,-2.807,K10,5720.245,5720.675,5718.5,5722.5
Ti,1,5739.469,2.249,-0.61,LGWSC,5739.25,5739.7,5737.47,5741.47
Ti,1,5866.3679,3.305,-1.055,K10,5866,5866.809,5864.79,5868.6
Ti,1,5866.4513,1.067,-0.79,LGWSC,5866,5866.809,5864.79,5868.6
Ti,2,5866.6643,8.089,-0.695,K10,5866,5866.809,5864.79,5868.6
Ti,1,5866.8072,3.323,-2.213,K10,5866,5866.809,5864.79,5868.6
Ti,1,6599.1048,0.9,-2.029,1983MNRAS.204..883B|1989A\&A...208..157G,6598.898,6599.498,6597.11,6601.11
Ti,1,6716.666,2.488,-1.37,LGWSC,6716.489,6716.905,6714.67,6718.67
Ti,1,7852.677,0.848,-2.64,BLNP,7852.2,7852.997,7851.36,7854.67
Ti,1,7852.6819,1.879,-4.096,K10,7852.2,7852.997,7851.36,7854.67
Ti,1,4719.3556,0.813,-4.459,K10,4719.3,4719.6,4719,4721.51
Ti,2,4719.5109,1.243,-3.32,WLSC,4719.3,4719.6,4719,4721.51
Ti,2,4764.5247,1.237,-2.69,WLSC,4764.397,4764.8,4762.52,4766.52
Ti,2,4798.5313,1.08,-2.66,WLSC,4798.33,4798.644,4796.33,4799.41
Ti,2,4849.1678,1.131,-2.96,WLSC,4849.05,4849.4,4847.17,4851.17
Ti,2,4865.6104,1.116,-2.7,WLSC,4865.3,4865.85,4863.61,4867.61
Ti,1,4865.7808,2.578,-2,MA-astro,4865.3,4865.85,4863.61,4867.61
Ti,2,4874.0094,3.095,-0.86,WLSC,4873.87,4874.194,4872.01,4876.01
V,1,4831.6457,0.017,-1.38,2014ApJS..215...20L,4831.525,4831.729,4829.65,4833.65
V,1,4784.4665,0.017,-2.67,2014ApJS..215...20L,4784.336,4784.607,4782.47,4786.47
V,1,4796.914,2.097,0.19,2014ApJS..215...20L,4796.76,4796.975,4794.91,4798.91
Cr,1,4775.13,3.551,-1.05,MFW,4774.95,4775.307,4773.13,4777.13
Cr,1,4789.335,2.544,-0.33,SLS,4789.193,4789.482,4787.33,4791.33
Cr,1,4801.0247,3.122,-0.131,MFW,4800.839,4801.233,4799.02,4803.02
Cr,1,5787.919,3.322,-0.083,MFW,5787.64,5788.16,5786.32,5790.42
Cr,1,6630.01,1.03,-3.56,MFW,6629.774,6630.272,6627.51,6632.51
Mn,1,4738.9176,3.772,-3.895,K07,4738.897,4739.304,4737.09,4741.09
Mn,1,4739.09,2.941,-0.604,DLSSC,4738.897,4739.304,4737.09,4741.09
Mn,1,4753.8969,5.214,-0.92,K07,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0183,2.282,-0.647,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0301,2.282,-0.787,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0472,2.282,-0.668,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,2,4754.0558,6.139,-3.124,K09,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0635,2.282,-0.67,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4754.0784,2.282,-1.84,DLSSC,4753.8,4754.3,4752.04,4755.6
Mn,1,4761.4912,2.953,-1.166,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4761.506,2.953,-0.548,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4761.5198,2.953,-0.821,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4761.5408,2.953,-1.613,DLSSC,4761.352,4761.762,4759.51,4763.51
Mn,1,4765.838,2.941,-0.601,DLSSC,4765.711,4766.057,4763.85,4767.85
Mn,1,4765.8525,2.941,-0.445,DLSSC,4765.711,4766.057,4763.85,4767.85
Mn,1,4765.8647,2.941,-0.676,DLSSC,4765.711,4766.057,4763.85,4767.85
Mn,1,4766.0086,4.425,-3.054,K07,4765.711,4766.057,4763.85,4767.85
Fe,1,4788.7566,3.237,-1.763,BWL,4788.555,4788.996,4787.5,4790
